date,price,market_cap,total_volume,coin_id,symbol
2025-04-29,1799.50191449199,217264115049.6792,16777384305.88931,ethereum,ETH
2025-04-30,1796.9720456768928,216596941729.71945,13994558644.11867,ethereum,ETH
2025-05-01,1794.0495408617828,216623334477.08453,13644627083.285889,ethereum,ETH
2025-05-02,1838.8543285925753,221969602979.55032,14310565589.052694,ethereum,ETH
2025-05-03,1841.427590836958,222269022299.2824,11686301446.49476,ethereum,ETH
2025-05-04,1834.501911876416,221494950784.02625,6704990478.824657,ethereum,ETH
2025-05-05,1808.156093844096,218216268630.8664,7479845748.828526,ethereum,ETH
2025-05-06,1820.0044598893596,219769896301.20087,10545233503.347864,ethereum,ETH
2025-05-07,1816.1686943818438,219305875804.55966,11950393736.527246,ethereum,ETH
2025-05-08,1810.3169269284476,218569578701.42172,47111217119.49919,ethereum,ETH
2025-05-09,2197.5611893238784,264994998215.9445,35992825075.05399,ethereum,ETH
2025-05-10,2341.407963002621,282636716534.08844,44566779461.54657,ethereum,ETH
2025-05-11,2583.6829051429513,312095621694.1442,29947910159.02891,ethereum,ETH
2025-05-12,2507.4693107597423,302727255563.5134,26138286410.23315,ethereum,ETH
2025-05-13,2492.426391077375,300976824863.0343,31524626114.978752,ethereum,ETH
2025-05-14,2676.639163127913,322977150438.36176,32279895881.637806,ethereum,ETH
2025-05-15,2603.7180887199615,314022060127.0501,28150234190.931705,ethereum,ETH
2025-05-16,2542.296692466797,306933361055.9317,26211434557.7159,ethereum,ETH
2025-05-17,2544.3870377235667,307619694635.7725,21130441534.96637,ethereum,ETH
2025-05-18,2475.0543933696913,298789831687.0011,17185510890.702347,ethereum,ETH
2025-05-19,2465.3409856139087,296863390804.2497,24797434472.364086,ethereum,ETH
2025-05-20,2526.989643891319,305077067863.0779,25363871274.82505,ethereum,ETH
2025-05-21,2524.2743433146065,304737250158.37354,22871462735.416794,ethereum,ETH
2025-05-22,2558.9502343769486,308934701949.7151,32697477527.54695,ethereum,ETH
2025-05-23,2657.1674447566115,320733890913.39886,29592612076.505535,ethereum,ETH
2025-05-24,2519.813809045145,304038733414.03973,30047329191.503662,ethereum,ETH
2025-05-25,2529.4429842284353,305369227833.4215,10744994421.192684,ethereum,ETH
2025-05-26,2546.6201163370915,307423642894.0653,13814697849.726278,ethereum,ETH
2025-05-27,2562.1729286392238,309319360637.78375,13350148034.293623,ethereum,ETH
2025-05-28,2662.0940568241435,321357595434.52185,26434151855.253853,ethereum,ETH
2025-05-29,2676.2674124507,323119009777.13904,18008588586.284103,ethereum,ETH
2025-05-30,2633.1392065286695,317891224562.8813,27021441335.5195,ethereum,ETH
2025-05-31,2524.4762348050726,304659964725.2192,22927149330.30469,ethereum,ETH
2025-06-01,2532.3627853090866,305718505778.76434,13006751258.18768,ethereum,ETH
2025-06-02,2538.3300584367485,306561765778.2403,11338340571.11249,ethereum,ETH
2025-06-03,2609.737253959435,314999579353.95825,15623967732.418657,ethereum,ETH
2025-06-04,2595.4689570062997,313315832347.0171,15955008730.338179,ethereum,ETH
2025-06-05,2610.343189828259,315159803382.89014,16809606446.176416,ethereum,ETH
2025-06-06,2421.601103763502,292341916400.9464,25849573159.64817,ethereum,ETH
2025-06-07,2481.4039836690267,299560106673.7574,18395107930.47655,ethereum,ETH
2025-06-08,2526.291995889778,304953508465.0457,9535426814.691927,ethereum,ETH
2025-06-09,2508.784123584585,302870081038.261,10206893115.537256,ethereum,ETH
2025-06-10,2685.0001850413178,324315565109.11993,19485734665.28548,ethereum,ETH
2025-06-11,2808.503208314919,339012253954.4242,38281210143.95115,ethereum,ETH
2025-06-12,2776.1371915822333,334990282503.402,27369030837.548595,ethereum,ETH
2025-06-13,2653.158968452672,320595535562.5316,26068993569.969894,ethereum,ETH
2025-06-14,2577.04861752583,311111352117.7261,38576471746.00814,ethereum,ETH
2025-06-15,2534.0702195359518,306048481935.1591,12077031034.291521,ethereum,ETH
2025-06-16,2547.8456040920437,307537228689.2678,11678912429.510712,ethereum,ETH
2025-06-17,2561.329843569428,309982828015.90594,24222149649.172424,ethereum,ETH
2025-06-18,2514.986700576147,303697873489.69434,25926506708.040215,ethereum,ETH
2025-06-19,2521.3334233964915,304290652058.44,17800721253.243202,ethereum,ETH
2025-06-20,2522.1791903642184,304481216643.1207,10392473841.155851,ethereum,ETH
2025-06-21,2405.695434213183,290401843920.2328,20482816663.29469,ethereum,ETH
2025-06-22,2270.581996055585,273839538572.25955,16155611764.84833,ethereum,ETH
2025-06-23,2227.4287266371684,268777741291.43988,28181442532.315876,ethereum,ETH
2025-06-24,2423.899644268608,292612668627.3885,25494295400.420887,ethereum,ETH
2025-06-25,2446.539301545049,295402538889.65454,19669025068.963604,ethereum,ETH
2025-06-26,2417.2267855277296,291827501114.87933,15513055665.262428,ethereum,ETH
2025-06-27,2415.031864876594,291547094716.2168,16271811388.723804,ethereum,ETH
2025-06-28,2423.0302896731746,292419308271.8665,13100825617.816572,ethereum,ETH
2025-06-29,2437.133001780241,294208600645.2538,5787313890.541637,ethereum,ETH
2025-06-30,2502.6672721177083,302158279316.21674,10236257918.833096,ethereum,ETH
2025-07-01,2488.190781689803,300388851494.49866,16306915984.938057,ethereum,ETH
2025-07-02,2405.1045592800183,290294455719.4809,12933967031.524443,ethereum,ETH
2025-07-03,2574.067718495133,310930535640.4307,21862573614.17975,ethereum,ETH
2025-07-04,2590.132231590221,312621047413.045,19823369642.62606,ethereum,ETH
2025-07-05,2509.236345783362,302827514359.61035,16377116416.187033,ethereum,ETH
2025-07-06,2517.37917835065,304028836772.5733,6801276942.284494,ethereum,ETH
2025-07-07,2571.358192115984,310345645222.7514,9051659015.949968,ethereum,ETH
2025-07-08,2543.6317028067488,307013209348.5054,15947822897.049152,ethereum,ETH
2025-07-09,2615.7759888945047,315738597830.34283,14750377128.581295,ethereum,ETH
2025-07-10,2772.5795626609174,335050165487.70404,26626246774.244656,ethereum,ETH
2025-07-11,2948.4462027029053,355346738000.49475,39308824585.23128,ethereum,ETH
2025-07-12,2958.8514450990992,357144054434.9151,42455550664.554665,ethereum,ETH
2025-07-13,2942.9616055388096,355216449018.5163,17472135946.60354,ethereum,ETH
2025-07-14,2974.2654952333387,359110100026.3572,18605172049.087772,ethereum,ETH
2025-07-15,3012.1797069059276,363606274489.50854,41336421998.04408,ethereum,ETH
2025-07-16,3133.069857747011,378233206915.81635,43416230283.76601,ethereum,ETH
2025-07-17,3368.126521526108,406599729410.5382,54882159731.0286,ethereum,ETH
